기능 그룹,기능 설명,단축키
파일,새 프로젝트,Ctrl+N
파일,프로젝트 열기,Ctrl+O
파일,프로젝트 저장,Ctrl+S
파일,다른 이름으로 저장,Ctrl+Shift+S
파일,PDF 가져오기,Ctrl+I
편집,실행 취소 (Undo),Ctrl+Z
편집,다시 실행 (Redo),Ctrl+Y
편집,에디트 모드 On/Off,Ctrl+E
편집,선택 항목 삭제,Delete
편집,번호 재정렬(자연수 단위),Shift+Delete
편집,번호 밀어내기 (+1 적용),Insert
편집,번호 삽입 (unit : 0.1),Shift+Insert
편집,개별 서식 적용/해제,F2
편집,개별 서식 복사,Ctrl+Shift+C
편집,개별 서식 붙여넣기,Ctrl+Shift+V
편집,선택 및 하이라이트 해제,ESC
보기,화면 맞춤,Ctrl+F
보기,강제 새로고침,Ctrl+R
보기,흐름도 보기 전환,Ctrl+Shift+F
보기,프리뷰 모드 전환,Ctrl+P
보기,항목 하이라이트 On/Off,Ctrl+H
보기,확대,Ctrl++
보기,축소,Ctrl+-
보기,줌 초기화 (100% / 스탬프 모드: 스탬프 순환),Ctrl+0
보기,이전 페이지,Page Up
보기,다음 페이지,Page Down
3D 뷰어,뷰 정렬 (가장 큰 축만 남기기),F6
스타일,원 크기 크게,Shift+F1
스타일,원 크기 작게,Shift+F2
스타일,테두리 굵게,Shift+F3
스타일,테두리 얇게,Shift+F4
스타일,글자 크게,Shift+F5
스타일,글자 작게,Shift+F6
스탬프,스탬프 선택 1~9 (스탬프 모드),Ctrl+1~9
도움말,단축키 목록 보기,F1

